index,target
5487.0,12
5593.0,
3479.0,1 12
9776.0,
1813.0,0
23580.0,0 4 13 35
9922.0,18 20
434.0,0
4812.0,
13005.0,0
24944.0,20
6769.0,2
17589.0,12 27
25160.0,20
18479.0,
23328.0,2
25852.0,27
13158.0,2
9128.0,3
326.0,30
20969.0,19
22839.0,0 16 27
23386.0,
24559.0,12
24678.0,12
5457.0,
23845.0,0 27
23517.0,0
23215.0,2 3
23889.0,
15093.0,19 40
4376.0,1
11833.0,19
25384.0,
26522.0,11
5585.0,
24616.0,23 24 25 26 27 36
1418.0,8 13 23 31
18953.0,
2285.0,0 19
22200.0,42
182.0,16 27
23305.0,
16959.0,27
25930.0,27
10392.0,2
8957.0,
21892.0,18
22256.0,
23354.0,2
26343.0,11 43
20633.0,28
25988.0,27 28
24834.0,12
49.0,
24557.0,12
22833.0,0
15806.0,0 4
24536.0,1 12
23005.0,
6470.0,2 12 36
22216.0,2
26451.0,0 27
370.0,12
20936.0,3
16517.0,
17869.0,2
1407.0,
25010.0,0 12
23732.0,0
11742.0,
21585.0,0
437.0,30
7864.0,12
20610.0,
22082.0,
652.0,30
23176.0,1
21986.0,18
22036.0,
25735.0,3
13550.0,
21925.0,28
23410.0,
15784.0,3
5524.0,12
22344.0,0
11043.0,30
15442.0,
21185.0,28
17771.0,2
5076.0,1 27
21441.0,16
12231.0,3 30
22205.0,20
11706.0,
19293.0,3
4546.0,1
20643.0,28
426.0,0
8324.0,12
24837.0,12 36
24178.0,2
21016.0,
23324.0,16
9385.0,12
7370.0,4
19607.0,1
2298.0,0
22794.0,21
11566.0,2 30
21362.0,19
24436.0,
5844.0,
21214.0,8 10 23
17432.0,30
26893.0,11 15 43
975.0,27 31
5050.0,2 36
24278.0,1
21406.0,28
23062.0,0 30
22355.0,
8107.0,0 16
6038.0,40
21073.0,2
21444.0,
21170.0,12
20466.0,0
24003.0,2
15284.0,2
21806.0,12 27 28 43
21178.0,8 13 23 31
17619.0,2 23 37
21200.0,
14639.0,12 23
15175.0,1
23818.0,0
24246.0,0 36
16883.0,28
24760.0,
26855.0,
2489.0,12 28
13910.0,19
18499.0,19
20285.0,
24385.0,
2535.0,
493.0,23
89.0,12 27
23019.0,4 13
12258.0,0 2
22199.0,
26079.0,2 27
17893.0,12 27
14039.0,1 2 4 8 34 35 39 41 47
4965.0,2 27 40
24581.0,12
2004.0,28 36
3107.0,0 1
16690.0,1
592.0,
26888.0,1 8 10 20 35
24875.0,
22269.0,
20770.0,1
17471.0,1
1952.0,0
20499.0,8
14374.0,20
26666.0,3 12
25700.0,1
23786.0,0
26066.0,27
16134.0,27
22873.0,
14477.0,
3741.0,
20898.0,18 19
8749.0,
26405.0,27
10839.0,1
24144.0,0
21947.0,
23443.0,0
16891.0,
39.0,
6483.0,
16457.0,0 28
20461.0,0
16625.0,18
21438.0,12
23920.0,13
12809.0,0 12 18
21141.0,28
26573.0,18
13414.0,8 13 23 31
25390.0,
25839.0,
5615.0,0
24138.0,21
26918.0,
12348.0,
3666.0,20
26711.0,2
26800.0,8 13 23 31
6108.0,
15172.0,20
21571.0,
11021.0,12
20912.0,8 12 28
13534.0,
12167.0,12
19760.0,22 23 37
5284.0,19
8719.0,
23277.0,3
25904.0,0
22647.0,0
10709.0,0 16
26986.0,0 30
20979.0,21
25211.0,
3223.0,1 2
20489.0,16
21661.0,12 27
20670.0,20
4838.0,
21429.0,19
22610.0,0
2748.0,18
26651.0,28
25794.0,0 14 27
284.0,
3386.0,27
10900.0,
24050.0,0
22358.0,28
10193.0,36
25972.0,
21526.0,0
10373.0,28
22172.0,47
4238.0,
7298.0,
22377.0,1
21373.0,0
5662.0,0
24338.0,1 3 35
417.0,19
22817.0,
22161.0,1 41 42 47
22137.0,
20016.0,
23033.0,0 23 37
20367.0,3
14842.0,
26685.0,18
14646.0,12
12029.0,12
22276.0,2 30
23296.0,0 10 16 17 21 31 33 34 38
22385.0,2
20418.0,0 1
9533.0,12
23675.0,
13151.0,
25246.0,3 8 10
23200.0,2
12030.0,0 2
26134.0,0 3 11 15 30
23916.0,
5841.0,27 28 43
7348.0,28
11133.0,0
6591.0,12
21137.0,12 28
13754.0,3
7980.0,18
2407.0,12
22351.0,2
1333.0,0
26945.0,30
23793.0,16 38
14783.0,
25582.0,28
24999.0,3
13811.0,2
21868.0,28
26751.0,18
24787.0,20
9204.0,
23955.0,3
17334.0,0
24091.0,1 2 3 4 5 35
4153.0,20
17556.0,19
213.0,19
24274.0,0
4018.0,0 37
26440.0,27
4286.0,12 27 36
23351.0,2 3
16017.0,12 16
16199.0,0
20529.0,2
11143.0,
16495.0,28
25710.0,27
24635.0,12
222.0,
24457.0,38 39
24929.0,
20738.0,27
2208.0,
23101.0,2
6611.0,12 27
3378.0,
9107.0,16 33
10050.0,0
421.0,
20505.0,0 2 4
416.0,2
20862.0,0 28 29
20836.0,0 20 28 29 43
18940.0,27
10210.0,18
3514.0,27
23984.0,16 30
20662.0,28
24747.0,2
25678.0,
22382.0,1
21667.0,0 27
24898.0,8 13 23 31
26492.0,27
26978.0,0 30
25134.0,
22347.0,18
20806.0,28 36
21519.0,13 19
26838.0,21
20658.0,1
22568.0,18 21
401.0,0
25881.0,27
7428.0,
22408.0,
23012.0,
15277.0,0
19509.0,30
18981.0,
22247.0,27
2953.0,3
24404.0,1
1477.0,0 30
21078.0,
23824.0,0 8
22840.0,
3277.0,18
25156.0,0
11201.0,1
26689.0,23
24681.0,8
11797.0,3 5 31
23235.0,
12164.0,1 2
21383.0,
26115.0,2
20831.0,0
23198.0,
23957.0,
9780.0,8 12
569.0,
1066.0,12
26572.0,
8459.0,19 23
7575.0,19
15638.0,
731.0,2
23063.0,0 3
24708.0,8
969.0,28
13509.0,
16551.0,11
18109.0,18
25018.0,
24403.0,
13065.0,18
15945.0,
118.0,0 5
18704.0,27 28
24865.0,1 3
21096.0,20
6052.0,1 2
26291.0,
23070.0,10
26345.0,15
18859.0,21
24264.0,23
3567.0,2
17262.0,19
27034.0,12
24052.0,27
22634.0,1 2 3 27
21692.0,19
15408.0,2 30
2316.0,0 5
533.0,
23782.0,0 2 36
12477.0,1 18 42
12586.0,1
23170.0,13 16 30 33
23634.0,
3769.0,14 48
21594.0,0
18666.0,8 9 10
20490.0,0 2 4 30 36
12293.0,13 16 36
1249.0,27 40
20576.0,0
20631.0,
20842.0,27 28
23358.0,2
3675.0,28
26242.0,
25912.0,0
25313.0,12
17949.0,21
24587.0,12
12275.0,3
9893.0,
5985.0,
22872.0,0 5 27
17500.0,0 30
23429.0,0
17983.0,3
14237.0,27 28
15788.0,2 3
81.0,19
22288.0,3 13 27
14143.0,
25668.0,
26596.0,
18376.0,
6845.0,0 36
24724.0,19
21035.0,19
5253.0,12
1775.0,43
24076.0,8
15116.0,30
24712.0,18
14637.0,3
11310.0,19
23059.0,27
19912.0,3
2525.0,0 2
6907.0,18
6090.0,8
23863.0,2
219.0,0
25451.0,12
21275.0,20
168.0,0
6220.0,27
23451.0,2
20756.0,3 10
14953.0,12
20464.0,
24758.0,28
20481.0,16
16156.0,
2644.0,0
11466.0,1 2 3
9860.0,
255.0,0
22034.0,
19209.0,28
25642.0,
26604.0,18
910.0,3 28
21006.0,12
250.0,
6720.0,0 14
21172.0,12
26713.0,0 26 30
24023.0,0
26804.0,1 18
20818.0,1 2
3442.0,1 2
22809.0,
4630.0,4
1126.0,
568.0,
24732.0,3
25131.0,10
5450.0,20
10822.0,18
22630.0,2
18037.0,
9231.0,2 48
2923.0,
20774.0,0
24215.0,0
22020.0,28
11941.0,4
22066.0,0 28
21601.0,0 16 20 28 30
7853.0,1
26073.0,
22645.0,0
17848.0,
1259.0,30
17174.0,0 2 27
24523.0,
12264.0,
24563.0,
12950.0,0 2
24273.0,1
22180.0,
488.0,12 43
20136.0,
20600.0,
18266.0,20
12844.0,0 8 30
6833.0,0 3
1522.0,
22662.0,16
3383.0,
26420.0,27
25835.0,18
17866.0,3 4 27
4012.0,1 28 30
26243.0,0 27 36 40
22989.0,0 30
7875.0,19
335.0,8 13 23 31
5679.0,18
22261.0,0 2 4
24093.0,
24947.0,
6825.0,2 12 14 15 31
6860.0,
10823.0,12 19
20636.0,36
21588.0,2 3 28 48
26013.0,19
23242.0,0
22973.0,2
12618.0,
7408.0,2
21393.0,
15803.0,0
24707.0,0 8 12 28 47
22245.0,0
23084.0,
14845.0,19
23146.0,1
21297.0,18
26294.0,1 3 15 18 27 32
20546.0,
27030.0,3 10
22592.0,2 12 36
3213.0,27 28
183.0,19
9375.0,
18916.0,1
22738.0,2
25108.0,20 28
26085.0,
24746.0,1
1596.0,0 28 36
20216.0,7 12 14 27 34
6617.0,
25723.0,27
25231.0,12 28
2725.0,
21076.0,
21525.0,19
23066.0,0
16278.0,12 28
16353.0,0 14
22429.0,
16647.0,30
368.0,19
25237.0,0 27
14784.0,30
12786.0,12 28
14798.0,20
8572.0,0 27
18272.0,
25117.0,1 12 34
22651.0,27
19612.0,
13721.0,
13857.0,
24051.0,0 11 14 27
23871.0,2 4
4913.0,
26196.0,11
19181.0,0 4
21458.0,
17496.0,4 29
4096.0,
24112.0,0 36
18570.0,
12523.0,12
5017.0,19 36 40
11598.0,2
11488.0,30
22716.0,
15014.0,20
21448.0,12
1270.0,0
15082.0,5
26980.0,30
5987.0,12 27
9810.0,
24414.0,
3062.0,12
2190.0,3
2537.0,
11738.0,8
22614.0,
25632.0,2
22757.0,
22741.0,0
13031.0,1
21224.0,0 12 28
25236.0,27
354.0,0 12
3792.0,
3894.0,12
24287.0,4
26985.0,18
7658.0,27
7669.0,0
25360.0,2
18260.0,18
12622.0,
19736.0,1 2
4053.0,27 28 30
14616.0,1 2
551.0,0 30
22732.0,36
12319.0,0
24225.0,1
21403.0,
25336.0,
21872.0,0 2 3
7611.0,2
25554.0,
19308.0,0
25736.0,28
23842.0,0 2
21616.0,27
20679.0,
3992.0,27
22550.0,
11508.0,
22503.0,
19053.0,12
3335.0,12
8185.0,8 13 23 31
21638.0,28
6654.0,12
22706.0,
22581.0,
23095.0,2
25046.0,
14635.0,
21147.0,
15221.0,12 23
371.0,0 1
5078.0,2
3022.0,8 13 23 31
20571.0,2
25376.0,12
16699.0,1 12 27 43
26071.0,
21800.0,28
22783.0,
23216.0,0
7391.0,
21111.0,12
7010.0,12 27
8802.0,
19024.0,
14900.0,0
15153.0,12
26939.0,27
16618.0,1
3321.0,12
22619.0,1
1286.0,
7065.0,11
345.0,0 27
14596.0,19
9140.0,0
3602.0,8 10
21698.0,28
4449.0,2
6895.0,
23373.0,
5904.0,0 8 27
21687.0,27
21950.0,19
20833.0,28
24658.0,8
2988.0,30
3389.0,0 36
26829.0,2
26463.0,11 12 27 43
19839.0,12
22653.0,
26315.0,0
23585.0,
26742.0,
25558.0,
26322.0,16 40
22143.0,
25672.0,28
20311.0,3 12
20735.0,4
22917.0,0 2 4
4463.0,
20040.0,
21964.0,
24223.0,0 2
25424.0,12
1221.0,27
8916.0,0
21956.0,28 39 47
22254.0,1
5628.0,12
22263.0,0
17087.0,20
10493.0,0 27
6732.0,0 18
19318.0,
21584.0,19
1425.0,
25110.0,
10883.0,40
26803.0,
16179.0,28
23352.0,0
19735.0,0
25741.0,30
25133.0,
22132.0,4 28
12073.0,0
10790.0,19
26077.0,19
13781.0,12
2860.0,18
8907.0,
23710.0,
610.0,0 3
12906.0,10 19
1208.0,2
25164.0,3 23 28
20618.0,12
13199.0,
2142.0,7
9189.0,2
6763.0,2
9568.0,
17885.0,0
8914.0,12
26002.0,27
22899.0,16 33
18645.0,3 11 12 13 15 16 17 21 26 27 30 31 32 34 37 39 44 48 49
7110.0,2 30
420.0,4
24797.0,0 12 30
9392.0,8 13 23 31
7851.0,
22671.0,
22368.0,4
21135.0,12
394.0,2
12042.0,3
22573.0,
26004.0,
21789.0,
23308.0,
20706.0,
8671.0,
9888.0,
22452.0,18
12810.0,0 3
25837.0,1
24585.0,12
14500.0,12 28
4509.0,
9624.0,
20593.0,2
22803.0,32 38 48 49
14001.0,12
7890.0,12
2882.0,27
13613.0,
6305.0,2 3
4664.0,28
26279.0,27
21166.0,19
25849.0,
12070.0,
21312.0,42
1193.0,3
22135.0,3
940.0,21
23430.0,0 2
24910.0,12
21590.0,
18517.0,1
25183.0,2 12
26159.0,30
25998.0,15
22337.0,
25646.0,
25151.0,
24767.0,21
7883.0,3
3822.0,0
24936.0,0 1
20416.0,
26326.0,
9418.0,1
22991.0,
3945.0,12 27
22582.0,
25886.0,1 2
11419.0,2
768.0,10
24244.0,2
19988.0,
25300.0,0 12
6689.0,3
20361.0,8
21284.0,0 1 28 36 46
22553.0,19
21930.0,28
24687.0,12
10265.0,
20981.0,
439.0,12
8576.0,12
23832.0,0 2
26607.0,0 23 30
26953.0,14 15 27 30 40
16350.0,
20747.0,0 2
6172.0,2
9236.0,19
1268.0,0 36
6826.0,12
18648.0,12
24839.0,12
23042.0,1 2
1297.0,
25977.0,
20306.0,
4834.0,1 20
23510.0,2
24663.0,28
8315.0,
17844.0,1 2
20730.0,0 28
26488.0,
15785.0,12 28
16037.0,0 8
13789.0,0 15
19807.0,12
12564.0,
8433.0,2
15212.0,
25991.0,2 27
19128.0,
6821.0,11
15852.0,0
25562.0,1
20525.0,
6058.0,21
22390.0,1 8 11 43
1836.0,27
13489.0,
24897.0,10
22456.0,3
22465.0,
21372.0,
9766.0,28
24048.0,0
24808.0,2
23993.0,36
738.0,21
20052.0,28
22207.0,1 4 10 41 47
24836.0,8
2410.0,8 27
16340.0,2
26102.0,3 15
26360.0,
22096.0,18
22324.0,
594.0,
17079.0,12
21054.0,12 28
7719.0,12
4292.0,2
26030.0,14 27
6262.0,
22936.0,
15069.0,3 12
21759.0,
19241.0,27
2346.0,0 4
20702.0,
3902.0,12
25203.0,0 2 4
18478.0,20
22138.0,
22890.0,
22852.0,27
22336.0,0 2
15106.0,
24970.0,12 36
1224.0,0
12427.0,0 2
21223.0,28
23463.0,
20755.0,0
26443.0,27
26410.0,
22725.0,1
15853.0,2
616.0,27
22887.0,
25693.0,27
20838.0,
4359.0,
17134.0,21
21049.0,2
22543.0,0 2
1362.0,28
8607.0,21
17774.0,
14892.0,1
24926.0,20
1919.0,
24177.0,0
18605.0,27
396.0,30
22659.0,
13690.0,
21631.0,
15091.0,0 4 8
24413.0,0 4 30 37
13451.0,
282.0,19
5288.0,37
14949.0,0 30
22443.0,
9381.0,3
2805.0,1 12
15866.0,0 1 8 14 16 27
18928.0,8 13 23 31
25951.0,19
20342.0,
25170.0,12 18
25756.0,1 3
20202.0,
20427.0,30
7653.0,
10106.0,19
25320.0,8
25602.0,15 27 40
25768.0,0 19 23 36
24955.0,19
20399.0,4
21253.0,
26857.0,12
24639.0,
1548.0,
22891.0,8 13 23 31
24575.0,28
24137.0,
19604.0,12 28
26844.0,
8165.0,28
25715.0,
22025.0,0 1 28
17503.0,30
25516.0,4 19 23 37
26881.0,
12542.0,
22897.0,21
20400.0,5 36
4774.0,2
3445.0,0
7035.0,12 27
7242.0,0
23788.0,0 36
17037.0,
19233.0,12 42 47
25506.0,36
26105.0,0 40
8827.0,12
20985.0,12
5814.0,12
20484.0,
7562.0,27 30
22774.0,
19576.0,1 2
17956.0,16
744.0,1
24073.0,0 2
47.0,18
24405.0,10
25373.0,4 18 43
24600.0,2
22522.0,28
3467.0,0
19685.0,
12307.0,42
21933.0,20
11166.0,8 13 23 31
5842.0,0 1
24531.0,28
25391.0,
196.0,
7223.0,
22533.0,0 2 27
21946.0,
22048.0,18
13457.0,
12161.0,
23636.0,0
11778.0,12
18125.0,18
20222.0,
22664.0,1 2
24094.0,
1951.0,
24981.0,12
10400.0,
23457.0,2 4
22867.0,27 40
22826.0,12 36
22000.0,28
12221.0,0 35
46.0,8 13 23 31
13367.0,28
12473.0,16
3249.0,
23876.0,1
13132.0,3
18736.0,1
24666.0,1 12 40 43
26494.0,
10767.0,12
173.0,0 5
20483.0,4
21165.0,0 27
15794.0,1
28.0,
21307.0,28
5565.0,0
21953.0,18 20 28 43 47
25679.0,8 13 23 31
410.0,2
23302.0,1 2 36
6396.0,27 30
24803.0,0 34
13180.0,28
4102.0,12 27
15900.0,2
21125.0,28
11243.0,30
20889.0,2 10
16085.0,
4850.0,1 2 8
21492.0,
4121.0,8 13 23 31
25272.0,8 13 23 31
12440.0,
23421.0,4 19
22047.0,20
13401.0,3 20 21
1891.0,12
129.0,0 12
13567.0,12 27
21332.0,19
22519.0,3 30
22192.0,1 41 42 47
11144.0,30
22551.0,0
7133.0,4
6025.0,18
5740.0,
12748.0,1
16865.0,28
13615.0,3 14 19 43
4648.0,1
23046.0,
26366.0,0 30
20455.0,4
17071.0,12 28 43
17784.0,
24393.0,
1905.0,19
1736.0,1
23397.0,0 8 38
26570.0,18
13838.0,2
26850.0,30
24798.0,3
22266.0,27
8440.0,10
2553.0,30
24718.0,2 8
22703.0,3
22772.0,28
5441.0,12
17132.0,
21763.0,15 27 40
26819.0,16
331.0,18
19708.0,12
22967.0,0 1 8 27 30
26150.0,27
11766.0,12 28
26457.0,11 27
21580.0,0 2
157.0,28
19898.0,18
25008.0,28
22458.0,12 28
22334.0,1 2
4262.0,28
18146.0,
5931.0,48
8149.0,19
27038.0,19
20262.0,
25295.0,12
6909.0,0
22488.0,19
16435.0,1 3 16
19298.0,
14036.0,
23792.0,36
22099.0,8 13 23 31
26865.0,30
6862.0,0
14797.0,2
1043.0,0
22740.0,1
19674.0,8 13 23 31
11109.0,0
13538.0,19
24100.0,2
15834.0,8 13 23 31
24294.0,0
3252.0,8 12
26470.0,1
20809.0,
24651.0,
423.0,
21671.0,18
25146.0,
21796.0,
23926.0,0 30
22229.0,
24603.0,19
4852.0,0 2
25722.0,12 27 36
14149.0,
9661.0,0 4 15 18
1464.0,1 20
14366.0,1
23133.0,3 30
20027.0,12 23
18313.0,
23757.0,3
26382.0,27
22542.0,0
6419.0,1
11543.0,
23381.0,2 4
1472.0,
26920.0,
12980.0,
6115.0,0 3 12 30 36
22600.0,0
15841.0,0
95.0,5 30
21749.0,27
22920.0,30
16254.0,
24750.0,
18506.0,
6549.0,16 33
21481.0,19
25713.0,
24686.0,18 40
777.0,1
17667.0,
15576.0,12
20849.0,12 28
23267.0,19
23110.0,
26936.0,21
12884.0,2
5211.0,
4294.0,
2721.0,19
14823.0,2
20929.0,0 2
7625.0,30
241.0,28
7841.0,12
307.0,
16164.0,
280.0,12
4004.0,27
26236.0,2 27
11055.0,2
14379.0,12
25950.0,0 38
21482.0,22
17578.0,30
23927.0,0 1
